nid	mid	fields
1405680160170	1405599708170	element&nbsp;	individual objects of a set [$]{x}\in{A}[/$]
1405681072984	1405599708170	<b>Theorem 1.1.1:</b> There is no _____ number whose square is 2.	There is no <i>rational</i> number whose square is 2.
1405681139160	1405599708170	<b>N</b>	<i>natural numbers</i>&nbsp;= {1,2,3,4,5, ... }
1405681202646	1405599708170	<b>Z</b>	<i>integers&nbsp;{ ... ,-3,-2,-1,0,1,2,3, ... }</i>
1405681233017	1405599708170	<b>Q</b>	<i>rational numbers&nbsp;</i><img src="paste-19288698126339.jpg" />
1405681259292	1405599708170	field	<div>a field &nbsp;is &nbsp;any set where addition and multiplication are well-defined operations&nbsp;</div><div>that are commutative, &nbsp;associative, &nbsp;and obey the familiar &nbsp;distributive property&nbsp;</div><div>a(b + c) &nbsp;= ab + ac. &nbsp;There must be an additive identity, and every element must&nbsp;</div><div>have &nbsp;an additive inverse. &nbsp;Finally, &nbsp;there must be a &nbsp;multiplicative identity, &nbsp;and&nbsp;</div><div>multiplicative inverses must exist for &nbsp;all nonzero elements of the field. &nbsp;Neither&nbsp;</div><div><b>Z</b> &nbsp;nor &nbsp;<b>N</b> &nbsp;is &nbsp;a &nbsp;field. &nbsp;The &nbsp;finite &nbsp;set &nbsp;{0, 1,2,3,4} &nbsp;is &nbsp;a &nbsp;field &nbsp;when &nbsp;addition &nbsp;and&nbsp;</div><div>multiplication &nbsp;are &nbsp;computed &nbsp;modulo &nbsp;5</div>
1405681304610	1405599708170	What is meant by "the set <b>Q</b>&nbsp;also has a natural <i>order </i>defined on it"?	<div>Given &nbsp;any &nbsp;two &nbsp;rational&nbsp;</div><div>numbers r and s, &nbsp;exactly one of the following &nbsp;is &nbsp;true:&nbsp;</div><div>r &nbsp;&lt; s, &nbsp;r = &nbsp;s, &nbsp;or &nbsp;r &nbsp;&gt; s.&nbsp;</div><div>This ordering is &nbsp;transitive in the sense that if r &nbsp;&lt; &nbsp;sand s &nbsp;&lt; t, &nbsp;then r &nbsp;&lt; t, &nbsp;so&nbsp;</div><div>we &nbsp;are &nbsp;conveniently &nbsp;led &nbsp;to a &nbsp;mental picture &nbsp;of the &nbsp;rational &nbsp;numbers &nbsp;as &nbsp;being&nbsp;</div><div>laid out from left to right along a number line.&nbsp;</div>
1405681377961	1405599708170	set	any collection of objects
1405681675533	1405599708170	[$]{x}\notin{A}[/$]	<i>x</i> is <u>not</u>&nbsp;an element of <i>A</i>
1405681948010	1405599708170	[$]{A}\cup{B}[/$]	<i>union</i>&nbsp;[$]{x}\in{A}\cup{B}[/$] provided [$]{x}\in{A}[/$] or&nbsp;[$]{x}\in{B}[/$]
1405682170965	1405599708170	[$]{A}\cap{B}[/$]	<i>intersection&nbsp;</i>[$]{x}\in{A}\cap{B}[/$] provided&nbsp;[$]{x}\in{A}[/$] <u>and</u>&nbsp;[$]{x}\in{B}[/$]
1405682393297	1405599708170	Read the following aloud: [$]{S}=\{{r}\in{Q} : {r}^{2} &lt; {2}\}[/$]	<div>"Let S &nbsp;be the set of all rational numbers&nbsp;</div><div>whose &nbsp;squares &nbsp;are &nbsp;less &nbsp;than 2."</div>
1405726399033	1405599708170	[$]\emptyset[/$]	empty set
1405726485756	1405599708170	<img src="paste-6725918785539.jpg" />	<i>E </i>and <i>S</i>&nbsp;are <i>disjoint</i>
1405726596169	1405599708170	<img src="paste-7185480286211.jpg" />	<i>inclusion</i>&nbsp;every element of <i>A</i>&nbsp;is also an element of <i>B. A </i>is a <u>subset</u>&nbsp;of <i>B</i>, or <i>B</i>&nbsp;<u>contains</u>&nbsp;A.&nbsp;
1405726713320	1405599708170	[$]{A}\subseteq{B}[/$] and&nbsp;[$]{B}\subseteq{A}[/$]	<i>A = B</i>
1405726810964	1405599708170	<img src="paste-8044473745411.jpg" />	The set whose elements consist of any element that appears in <u>at least one</u>&nbsp;particular&nbsp;[$$]{A}_n[/$$]
1405726899397	1405599708170	<img src="paste-8375186227203.jpg" />	<img src="paste-8388071129091.jpg" />
1405726976131	1405599708170	De Morgan's Laws:&nbsp;<img src="paste-8976481648643.jpg" />&nbsp;and&nbsp;<img src="paste-8997956485123.jpg" />	<img src="paste-9010841387011.jpg" />
1405727189972	1405599708170	<i>function</i>	<img src="paste-9534827397123.jpg" />
1405727262380	1405599708170	<i>Triangle Inequality</i>	<img src="paste-9921374453763.jpg" /><div><img src="paste-9947144257539.jpg" /></div>
1405727399565	1405599708170	<i>absolute value function</i>	<img src="paste-10355166150659.jpg" />
1405727431924	1405599708170	<i>direct proof</i>	<div>A &nbsp;direct &nbsp;proof begins &nbsp;from&nbsp;some &nbsp;valid &nbsp;statement, &nbsp;most &nbsp;often &nbsp;taken &nbsp;from &nbsp;the &nbsp;theorem's &nbsp;hypothesis, &nbsp;and then proceeds through rigorously logical deductions to a &nbsp;demonstration of the&nbsp;theorem's &nbsp;conclusion.&nbsp;</div>
1405727747746	1405599708170	<i>proof by contradiction / indirect proof</i>	<div>an indirect &nbsp;proof always&nbsp;</div><div>begins by negating what it is we would like to prove. &nbsp;This is not always as easy&nbsp;</div><div>to do as it may sound. &nbsp;The argument then proceeds until (hopefully) &nbsp;a logical&nbsp;</div><div>contradiction &nbsp;with &nbsp;some &nbsp;other &nbsp;accepted &nbsp;fact &nbsp;is &nbsp;uncovered. &nbsp;Many &nbsp;times, &nbsp;this&nbsp;</div><div>accepted fact is part of the hypothesis of the theorem.&nbsp;</div>
